Cod Depto.,Depto.,Codmunicipio,NUM-Codmunicipio,Municipio,Direcciones Regionales PS ,"Distribución Regiones ComitéPS 
(Res. 3490/25 art2.2.4)",Z_PM_Conv,Z_MPM,Z_PAZ,Z_HOGMON,Z_IRV,Z_TCTOT,Z_AGFAM,Z_TEJEMP,Z_EILPO,Z_SUPINFMULMOD,Z_ICINV,ZCATRUR,Z_FIES,Z_PDESN,Z_ECOS,Z_INDPS,score_raw,score_index,rank,cluster
94.0,GUAINÍA,94888.0,94888.0,MORICHAL,GUAINÍA,AMAZONÍA,2.060737327188938,2.2187499999999987,0.0,-2.9754173725897037,0.8085948564067278,143.41739130434797,0.9842223230883563,0.5237647058823532,0.4182620984654708,1.1467736992437563,3.016599768726542,1.0000000000000002,0.9444425185309591,0.0,1.5312694792587784,3.823832646190372,11.889724047750956,1.0,1,2
94.0,GUAINÍA,94884.0,94884.0,PUERTO COLOMBIA,GUAINÍA,AMAZONÍA,2.060737327188938,2.2187499999999987,0.0,-2.9754173725897037,0.32876092158569226,143.41739130434797,0.9852758354507264,0.5237647058823532,0.4182620984654708,1.2754438005358315,3.016599768726542,1.0000000000000002,0.9444425185309591,0.0,1.4693931245240757,3.823832646190372,11.860368641797203,0.997850774679657,2,2
27.0,CHOCÓ,27150.0,27150.0,CARMEN DEL DARIÉN,URABÁ,OCCIDENTE,1.4009216589861753,1.6517857142857142,2.0,0.9196747900025974,2.5521109783037152,143.2318840579712,0.7517122970493818,0.41882352941176465,0.8226000510245758,1.0959475446522846,0.791351735690352,1.0000000000000002,0.8541327249375343,1.7999999999999545,1.5463099683378694,1.3194258848775482,11.848443915183037,0.9969777183023167,3,2
52.0,NARIÑO,52621.0,52621.0,ROBERTO PAYÁN,NARIÑO,SUR-OCCIDENTE,0.8617511520737329,1.794642857142857,3.0,1.333387236654344,4.048141440891109,142.02898550724655,0.47543654196533747,0.24235294117647072,0.9059388934666076,0.9071525155609501,1.08786109715561,1.0000000000000002,0.9204622727109818,0.0,1.3142524034983485,0.9072033303728514,11.813422689444202,0.9944136759168724,4,2
27.0,CHOCÓ,27745.0,27745.0,SIPÍ,CHOCÓ,SUR-OCCIDENTE,1.3548387096774195,1.2901785714285716,2.0,1.0290177326604657,2.900826595648381,143.41739130434797,0.8151677884551976,0.5011764705882354,0.8226000510245758,1.080102516878029,1.1894694588581907,1.0000000000000002,0.8541327249375343,1.0,1.422475333864402,0.6218871602667767,11.806745103526545,0.9939247834533989,5,2
94.0,GUAINÍA,94887.0,94887.0,PANA PANA,GUAINÍA,AMAZONÍA,2.060737327188938,2.2187499999999987,0.0,-2.9754173725897037,-0.5315605756850068,143.41739130434797,0.9832195006086153,0.5237647058823532,0.4182620984654708,1.2703016468180057,3.016599768726542,1.0000000000000002,0.9444425185309591,0.0,1.5307948792352462,3.823832646190372,11.800665688110655,0.9934796854171019,6,2
27.0,CHOCÓ,27099.0,27099.0,BOJAYÁ,CHOCÓ,SUR-OCCIDENTE,0.9216589861751152,1.620535714285714,2.0,1.0204739840484904,3.5821250125202835,143.1159420289857,0.7205181874029917,0.37411764705882344,0.8226000510245758,1.2470105734495633,1.0257560302650386,1.0000000000000002,0.8541327249375343,1.7999999999999545,1.5205855170623652,-0.17030954301693196,11.800197310654262,0.9934453936518869,7,2
94.0,GUAINÍA,94886.0,94886.0,CACAHUAL,GUAINÍA,AMAZONÍA,2.060737327188938,2.2008928571428568,0.0,-2.9754173725897037,-0.32136159784870644,143.41739130434797,0.9720286843229973,0.5237647058823532,0.4182620984654708,1.276099297636009,3.016599768726542,1.0000000000000002,0.9444425185309591,0.0,0.710349486888162,3.823832646190372,11.753608511151572,0.9900344434612027,8,2
27.0,CHOCÓ,27450.0,27450.0,MEDIO SAN JUAN,CHOCÓ,SUR-OCCIDENTE,1.6382488479262676,1.2901785714285716,2.0,0.5623159967289628,3.816506666786221,143.41739130434797,0.49011530742660514,0.43999999999999984,0.8226000510245758,0.4425915431897334,0.012957221445545118,1.0000000000000002,0.8541327249375343,1.0,1.503126262863344,0.543697256182215,11.731734236561666,0.9884329413430979,9,2
27.0,CHOCÓ,27425.0,27425.0,MEDIO ATRATO,CHOCÓ,SUR-OCCIDENTE,2.060737327188938,1.5982142857142854,2.0,0.6208369096198164,1.6612295425951522,143.41739130434797,0.7129885074483788,0.4823529411764706,0.8226000510245758,0.9374717214181394,0.6032649584434746,1.0000000000000002,0.8541327249375343,1.0,1.5463099683378694,0.038489507905695323,11.711118006232512,0.9869235456187381,10,2
